x1
694.30 
695.26 
693.51 
692.07 
693.75 
693.50 
689.15 
690.05 
688.90 
689.85 
689.86 
685.20 
683.60 
686.81 
687.29 
685.14 
688.36 
688.12 
686.97 
686.50 
685.59 
688.21 
687.00 
686.60 
688.19 
687.76 
686.49 
686.85 
685.17 
686.40 
687.60 
688.10 
687.65 
687.26 
686.45 
687.50 
686.65 
687.94 
688.68 
689.54 
687.91 
691.25 
690.86 
690.50 
691.15 
691.33 
688.62 
690.04 
689.98 
690.50 
688.89 
688.56 
689.79 
688.03 
686.87 
687.79 
688.89 
689.93 
688.32 
689.20 
689.55 
690.31 
689.88 
689.40 
688.90 
688.65 
687.35 
688.00 
687.78 
688.62 
688.23 
688.45 
688.33 
688.24 
688.96 
689.35 
689.56 
688.92 
689.62 
690.31 
690.45 
690.70 
690.32 
690.11 
689.94 
689.72 
688.67 
688.32 
686.12 
688.80 
688.31 
689.94 
688.84 
686.95 
685.56 
681.01 
680.98 
681.17 
680.09 
679.34 
678.58 
679.30 
679.90 
679.16 
679.54 
679.39 
678.88 
679.95 
680.97 
681.80 
682.85 
683.49 
682.38 
682.11 
681.26 
680.53 
679.41 
678.09 
677.72 
679.84 
680.15 
680.60 
679.89 
680.36 
679.83 
680.39 
678.02 
677.58 
677.41 
674.63 
674.51 
674.64 
674.15 
676.63 
674.85 
675.39 
675.30 
673.73 
673.62 
671.48 
672.05 
672.11 
671.49 
672.14 
670.65 
670.75 
667.39 
666.47 
666.11 
666.94 
667.79 
668.99 
667.29 
667.09 
666.29 
665.98 
665.67 
665.99 
664.64 
662.93 
659.16 
659.02 
659.09 
656.68 
652.68 
653.11 
652.69 
648.29 
649.97 
652.53 
653.82 
654.65 
655.19 
654.28 
657.24 
656.70 
657.99 
658.60 
658.98 
660.76 
663.70 
663.99 
665.91 
665.32 
662.34 
657.11 
658.69 
658.54 
657.84 
658.85 
659.91 
660.93 
661.25 
662.05 
663.79 
663.22 
663.49 
663.91 
664.97 
663.79 
663.27 
660.17 
660.67 
663.59 
663.13 
663.79 
662.48 
664.02 
663.47 
663.84 
663.49 
661.99 
662.73 
663.51 
663.00 
662.90 
660.85 
658.10 
658.74 
659.66 
660.11 
660.34 
660.67 
661.37 
661.84 
661.69 
661.35 
662.18 
661.98 
661.74 
662.51 
661.70 
661.13 
660.87 
660.98 
660.34 
657.95 
658.32 
657.49 
653.79 
654.21 
654.12 
653.21 
650.79 
650.30 
650.43 
649.15 
648.32 
649.68 
652.07 
651.47 
